Date,Open,High,Low,Close,Volume,Next Price,10-day MA,20-day MA,index,20-SMA Change
2017/10/27,56.79541359723508,56.79541359723508,56.40470417031752,56.61781692504883,1584425,56.54676055908203,,,1,
2017/10/30,56.47572299776553,56.68884110153356,56.36916394588151,56.54676055908203,1196599,56.36916732788086,,,2,
2017/10/31,56.404688820579565,56.61780151731527,56.36916732788086,56.36916732788086,1900833,56.40467071533203,,,3,
2017/11/1,56.33363317255569,56.47570825810837,56.262590209962255,56.40467071533203,2493390,56.01396942138672,,,4,
2017/11/2,56.12052847080129,56.333646569630424,56.01396942138672,56.01396942138672,2755521,56.333641052246094,,,5,
2017/11/3,55.90740489633391,56.333641052246094,55.90740489633391,56.333641052246094,1599282,56.01396942138672,,,6,
2017/11/6,56.36916263955635,56.36916263955635,55.8363728123019,56.01396942138672,3609283,56.08500289916992,,,7,
2017/11/7,55.97844927732876,56.156045873488026,55.836368748510544,56.08500289916992,2294788,56.440189361572266,,,8,
2017/11/8,55.90739963662419,56.440189361572266,55.90739963662419,56.440189361572266,1820399,56.58229064941406,,,9,
2017/11/9,56.0850168049824,57.292677210185566,56.0850168049824,56.58229064941406,2998654,56.36916732788086,56.34074783,,10,
2017/11/10,56.75988206829125,56.75988206829125,55.97845800728931,56.36916732788086,1793459,56.12052917480469,56.31588287,,11,
2017/11/13,56.36916334667874,56.36916334667874,55.65877690142805,56.12052917480469,1418021,56.191558837890625,56.27325974,,12,
2017/11/14,55.94292470096101,56.191558837890625,55.800849599806284,56.191558837890625,1641190,56.79540252685547,56.25549889,,13,
2017/11/15,56.29813410958808,56.79540252685547,56.1205374720184,56.79540252685547,2543470,56.29812240600586,56.29457207,,14,
2017/11/16,56.86643369601266,56.86643369601266,56.227084849709534,56.29812240600586,2010485,56.36916732788086,56.32298737,,15,
2017/11/17,56.61780151731527,56.68884450271268,56.15605463114515,56.36916732788086,1422575,56.15604782104492,56.32653999,,16,
2017/11/20,56.36916049193624,56.475719537291,56.013967287299195,56.15604782104492,1589119,56.262596130371094,56.34074783,,17,
2017/11/21,56.33363910044026,56.33363910044026,55.90740295929598,56.262596130371094,1982869,56.440189361572266,56.35850716,,18,
2017/11/22,56.12051769453036,56.54674839052535,56.049480148500756,56.440189361572266,1920298,56.9374885559082,56.35850716,,19,
2017/11/23,56.47573616992599,57.15060128956323,56.44021467107359,56.9374885559082,2413998,57.39924621582031,56.39402695,56.36738739,20,0.010114025
2017/11/24,57.11509045835184,57.61235896905646,57.11509045835184,57.39924621582031,2495295,57.896507263183594,56.49703484,56.40645885,21,0.017600597
2017/11/27,57.18612067099729,57.896507263183594,57.18612067099729,57.896507263183594,2927407,57.75442886352539,56.67463264,56.47394619,22,0.025189688
2017/11/28,58.0741006440973,58.0741006440973,57.61234830118955,57.75442886352539,2106274,57.683380126953125,56.83091965,56.54320927,23,0.021421133
2017/11/29,57.57682649058851,57.75442311095452,57.328186886221104,57.683380126953125,2311186,56.58229064941406,56.91971741,56.60714474,24,0.01901236
2017/11/30,57.18611814210597,57.39923627826516,56.58229064941406,56.58229064941406,8653848,56.79540252685547,56.94813423,56.6355608,25,-0.000940578
2017/12/1,56.97299916442515,57.18611729743647,56.65332738472743,56.79540252685547,3561845,56.82400894165039,56.99075775,56.65864887,26,0.002413641
2017/12/4,56.895574610144195,57.110277075736114,56.60930647605847,56.82400894165039,1911447,56.32304763793945,57.05755386,56.69915085,27,0.002202116
2017/12/5,56.39461877835639,56.788232750092476,56.32304763793945,56.32304763793945,2386689,56.179927825927734,57.06359901,56.71105309,28,-0.006841796
2017/12/6,56.17992782592773,56.68089315115851,56.14414224836302,56.179927825927734,2554427,56.144126892089844,57.03757286,56.69804001,29,-0.009138097
2017/12/7,56.179912459866664,56.35882937852866,55.89364429798526,56.144126892089844,2518000,56.072566986083984,56.95823669,56.67613182,30,-0.009386754
2017/12/8,56.21570381180789,56.35883517742019,55.929435620471686,56.072566986083984,2351717,55.71474075317383,56.82556877,56.6613018,31,-0.010390422
2017/12/11,55.89365771478332,56.10836025275966,55.60738948418566,55.71474075317383,3215856,56.251495361328125,56.60739212,56.64101238,32,-0.016353373
2017/12/12,55.57161304625511,56.28728094006364,55.57161304625511,56.251495361328125,3884742,56.60931396484375,56.45709877,56.64400921,33,-0.006929486
2017/12/13,56.32304579288792,56.82401645883843,56.21570000600181,56.60931396484375,2743612,56.53774642944336,56.34969215,56.63470478,34,-0.000448326
